headlines,outcome
"The United States ""decided waterboarding was torture back when we court-martialed American soldiers for waterboarding Philippine insurgents in the Philippine revolution.""",1
"Says Saddam Hussein ""had a 10-year relationship with al-Qaida.""",0
"The United States is at ""historic record highs"" of individuals being apprehended on the border from countries with terrorist ties such as ""Pakistan or Afghanistan or Syria.""",0
"By 2009, ""dozens of senior terrorists had been taken off the battlefield"" by drones.",1
"In February, John McCain ""suggested"" the Bergdahl-Taliban swap that he now calls ""outrageous and dangerous.""",0
"""More than 1,000 American soldiers have lost their lives in Afghanistan in the last 27 months. This is more than the combined total of the nine years before.""",0
"""More than 40,000 troops are still stationed in Afghanistan with no clear objective. Even in the best case, by the end of the year at least 10,000 American soldiers will still be on the ground.""",0
"""We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nationâ€™s history.""",0
"""There are still tens of thousands of missing service members from previous and current conflicts that our nation is working to find and repatriate.""",1
"""The FL Guard has defended our freedom in Afghanistan, Iraq, and put their lives at risk; now the fed govt is going to cut their pay 20%.""",0
"Wars in Afghanistan and Iraq have cost every U.S. family $45,000.",0
Says only about 250 Texans have been killed in action since 9/11.,0
"Says he and Mitt Romney ""always said that we agree with the 2014 deadline"" for leaving Afghanistan.",0
"""We will spend $100 billion in Afghanistan this year, fixing roads, building bridges, training police officers, and more, [and] cutting the same things in our own country.""",0
"Says that Tennessee Gov. Bill Haslam ""has made it clear by his repeated actions that he will pursue a policy that promotes the interest of Islamist (sic) and their radical ideology as long as he is governor.""",0
"Rhode Island has the ""the second-most heavily deployed National Guard in the United States.""",1
"""When Marcy Kaptur brought home $42 million for new manufacturing jobs, Dennis Kucinich voted 'no'.""",0
"Says President Obama ""helped more than half a million veterans and military family members go to college through the Post-9/11 G.I. Bill.""",0
"Says an amendment specifying when military members may use deadly force ""does nothing to change existing rules of engagement for American service members.""",1
"""$360 million of our tax dollars went straight to ... the Taliban.""",0
"Says for the first time in the history of the United States, the government cut taxes during wartime",0
"The U.S. is spending ""one out of every six Defense Department dollars on Afghanistan.""",1
"""A gallon (of gasoline) delivered to the front lines for our troops in Afghanistan cost more than $400.""",0
"""Most military experts say there is anywhere between 25 and 30 members of al Qaeda in Afghanistan.""",0
"Says Paul Ryan ""voted for two wars that were unpaid for, voted for the Bush tax cuts that were unpaid for, voted for the prescription drug bill that cost as much as my health care bill -- but wasn't paid for.""",0
"""A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide.""",0
"""Some of the men serving in the (Afghan) armed forces have never driven a vehicle before.""",1
"""The Taliban has been there for years and years, I mean, hundreds of thousands of years.""",0
"""More lives have been lost because of the war with the drug cartels in Juarez alone, just a few blocks from the United States of America, than have been lost in the war in Afghanistan.""",0
"""More people were killed in the United States last year by tainted food than U.S. troops killed in Iraq and Afghanistan since the wars began.""",0
"""It costs us, logistically, three times more to fight in Afghanistan than it does in any other place.""",0
"The United States accounted for 26 percent of worldwide military spending during the Cold War, but now accounts for 41 percent.",0
"""We are amassing most of our military strength in a country where fewer than 100 members of al Qaeda remain.""",0
"The Bush administration ""pulled the troops out of Afghanistan, pulled the resources away, because they wanted to invade Iraq instead.""",0
"""The War in Afghanistan is officially the longest war Americans have ever been asked to endure.""",1
"""Today, we have two Vietnams, side by side, North and South, exchanging and working.""",0
"""He (Kirk) did violate Pentagon rules, twice actually, for improperly mingling politics with his military service.""",1
"With his decision on whether to fire Gen. Stanley McChrystal, President Obama ""has to fix yet another problem he inherited from the Bush administration.""",0
"""The president has added close to 68,000 troops in the last year, since he came into office, not just the 30,000 you hear, but the others that were added before that.""",1
"In Afghanistan ""the (military) leadership has proposed a new medal, an award for 'Courageous Restraint' ... for 'NOT FIRING BACK.' """,0
"The president can ""authorize the killing of a U.S. citizen who fights for a foreign terrorist organization.""",0
"""He (Obama) has done several things well. Most of those things are places where he changed his view from where he had during the campaign. So, for instance, he's left our troops in Iraq and they're being more successful there. He boosted our effort in Afghanistan, which is the right course to take. He did not close Guantanamo, thank heavens.""",0
"""In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.""",0
"Photos of injured couple with newborn in hospital ruins. ""This is how a mother gives birth in Afghanistan""",0
Is this how planes are being smuggled from Afghanistan to Pakistan?,0
"Suspected Taliban fighters entered Gurdwara Karte Parwan, the main Sikh shrine in the Afghanistan capital, and damaged CCTV cameras and broke several locks",0
A photo by social media users claimed showed the Taliban hanging a man in Afghanistan,0
"Herat was once the city of literature and science. Under taliban rule, Herat has become the center of barbarism",1
Taliban first forced Afghan Sikhs and Hindus to leave Afghanistan. Now taliban have raided the Afghan Sikhs temple in Kabul,1
Video game screencaps were used as evidence of Pak involvement.Even the US does not have such drones that evade enemy fire like that,1
It was USG that colluded with Taliban to release thousands of prisoners will that act come under the sanctions,1
"The Trump administration worked to free 5,000 Taliban prisoners.",1
Republicans claim U.S. withdrawal left 33 Black Hawk helicopters for the Taliban,0
"Bidens will profit because China,which has been in talks with the Taliban, will ""take over"" Afghanistan's market for lithium, which is used in electric vehicle batteries",0
The U.S. Did Leave the Taliban an $83 Billion Arsenal of High-Tech Weapons,0
"Taliban Massacred 14 members of Hazara community which includes 12 former members of ANDSF, plus 2 civilians including an eight YO girl",1
"when Taliban captured Mazar-i Sharif in 98, they rounded up and summarily massacred 8,000 - 15,000 civilians, the majority of them ethnic Hazaras. Thousands more, including ethnic Uzbek and Tajik men, were detained",1
"Taliban forces under command of Mullah Dadaullah burned about 4,500 houses, 500 shops, and public buildings. As taliban retreated east, they continued to burn villages and to detain & kill Hazara civilians in villages in Yakawlang",1
Taliban tried to starve about 160.000 ppl in Yakawlang by not allowing food reaching the district,1
video viewed thousands of times on Twitter shows Taliban atrocities in Afghanistan's Panjshir province,0
Graphic image shows a man killed by the Taliban in front of his son,0
graphic video they say shows the Taliban executing the brother of former Afghan vice president Amrullah Saleh,0
taliban and their supporters claimed that yesterday in Parwan taliban faught against daesh ,0
A Taliban leader in Afghanistan praising India's BJP,0
Taliban terror & drug cartel continue their opium business.,1
Women's rights protests in Kabul is not slowing down despite taliban ban on protests,1
clip shows a Taliban fighter trying to hoist a flag on a building in the city of Kandahar,1
"Taliban are now threatening to persecute the families of translators, if translators don't appear in Taliban court as summoned",1
"A viral photo shows Ronald Reagan meeting with Afghan fighters in 1983, a decade before the Taliban emerged",0
"Taliban's Badri 313 unit, which specializes in suicide martyrdom, was guarding the Kabul airport prior to the suicide bombing that killed 13 American troops",1
Taliban Terrorists smashed protesting women’s smart phones and journalists cameras.,1
"Taliban hail victory as US withdraws from Afghanistan, resistance forces gear up for a long war",1
US Military disabled aircraft before leaving Kabul airport,1
"The military left behind 27 humvees, light tactical vehicles that were replaced by MRAPs in Iraq and Afghanistan after they proved vulnerable to IED attacks",1
Afghan folk singer dragged out of home and killed in lates Taliban brutality,1
Old video resurfaces in posts about 'Taliban executing former Afghan VP's brother',1
"An image of a woman without an Islamic veil reading a book has been shared hundreds of times on Facebook and Twitter alongside a claim that it was created by Afghan artist Shamsia Hassani, after the Taliban seized power in Afghanistan",0
This footage was taken at the Czech embassy in Kabul,0
This video has circulated in reports about a man who shot himself during celebratory gunfire at a wedding in Pakistan,0
Old Islamic State group video falsely circulated as showing killing of Christians in Afghanistan,0
The image has been doctored from a photo showing a different truck,0
This video has circulated since 2020 in posts about a graduation ceremony in Ethiopia,0
Photo of 2017 protest in Afghanistan shared in misleading posts about Kabul airport blast,0
The Taliban has not 'announced Afghanistan's national day will be marked on September 11',1
This video of a man firing a machine gun has circulated online since at least 2019,0
This photo shows vehicles in a US-controlled Afghan air base in 2013,0
"New Zealand pledged millions to aid agencies in Afghanistan, not the Taliban",1
Hoax posts claim '229 Christian missionaries were sentenced to death by the Taliban',1
This footage shows French soldiers -- it has circulated online since at least 2019,0
The video shows a huge explosion in Beirut in 2020,0
This photo shows controlled detonation of damaged US military aircraft in Iraq in 2008,0
Biden attended arrival of US troops killed in Afghanistan,1
Satirical posts about 'lax security in Afghan airport' mislead with old photo from Yemen,0
Facebook posts do not show female Afghan pilot 'stoned to death' by the Taliban,1
Video does not show Taliban using helicopter to execute man,1
Doctored photo allegedly showing US soldiers eating at Pakistan homeless shelter misleads online,0
"This footage shows an explosion in the Gaza Strip, not Afghanistan",0
This video has circulated in old posts about a street performance in Afghanistan,0
This is an old photo shared in reports about an Iraq mosque destroyed in 2014,0
"This video shows an explosion in Kazakhstan, not at the Kabul airport",0
"This image is not from Afghanistan 2021, it is a doctored old photo of a Chinese plane",0
Posts warning of 'imminent attack in Afghanistan valley' share old image of Pakistan village,0
Conspiracy theorists claim US jet departing Afghanistan was fake,1
Photo of man with leashed woman does not show Taliban,1
This video was created digitally by a Vietnamese artist,0
AFP image misrepresented as photo of Kabul blast,1
Afghan Tolo News reporter beaten -- not killed -- by Taliban,1
This 2003 photo from Iraq has been digitally manipulated,0
Fabricated Al Jazeera report about 'Taliban abducting girls' misuses old photo,1
Video of helicopter flying over Kabul edited to include Afghan national pride song,0
This video has circulated online since 2020,0
This video shows Syrian rebels capturing Idlib in 2015,0
"Video shows Taliban capturing Kandahar, not Kabul",1
"Photo of man carrying girl is from Iraq, not Afghanistan",1
This photo does not show a Taliban leader drinking whisky in his private plane,0
This is actually a 2012 Associated Press photograph of Afghans offering Eid prayers,0
This video surfaced online years before the Taliban took control of Afghanistan,0
Old video resurfaces in misleading posts claiming women are being auctioned in Afghanistan,0
CNN did not describe Afghanistan as 'violent but mostly peaceful',1
Images of children in conflict zones inadvertently linked to Talibanâ€™s march into Kabul,0
This video surfaced online months before the Taliban took control of Afghanistan,0
This photo shows artists painting a mural in Afghanistan in 2019,0
Posts about Afghan president fleeing Kabul misuse old footage,1
This photo has circulated in reports about Iran in the 1970s,0
Satirical image of Taliban official holding a Chairman Mao book is doctored from a news photo,1
The photo predates the 2021 Taliban onslaught,0
"anti-Taliban National Resistance Front of Afghanistan spokesperson ""had also been killed.""",0
"first visuals of a fighter jet, allegedly belonging to Pakistan, hovering over Panjshir Valley in Afghanistan",0
Infighting breaks out within Taliban; co-founder Mullah Baradar hurt in clash with Haqqani,0
Group of armed men shooting at a passing vehicle and pulling out corpses from it is Afghanistan.,0
Women Being Auctioned in Afghanistan,0
IAF Airlifting 800 People From Kabul Amid Crisis in 2021,0
Pakistan had bombed Panjshir,0
Pakistani F-16 shot down in Afghanistan,0
Taliban started abducting minor girls from their home.,0
The parents who refuse to give their daughters are being killed by Talibani fighters.,0
"Taliban banned menstrual hygiene products in Afghanistan, saying it goes against Sharia law.",0
"Taliban bans sanitory napkins in Afghanistan, says it’s not a Sharia complaint practice",0
Video shows Taliban dancing after taking over Afghanistan in August 2021,0
The British Library declines an offer to store a large collection of Taliban-related documents over concerns it could be prosecuted under terror laws,1
"Pakistan, China, and Iran are yet to recognise the Taliban government, but they all have an interest in doing so.",1
"Taliban To Announce Plans For Girls' Education ""Soon""",1
"The Taliban, notorious for its brutal and oppressive rule from 1996 to 2001, has faced international fury after effectively excluding women and girls from schools and work across the country, while incrementally stripping away Afghans' freedoms",1
"The vast majority of Afghan girls continue to be barred from attending secondary school following the Taliban takeover of Afghanistan, leading several teenage girls to feel their dreams and plans for the future have been ""buried""",1
"UNICEF Deputy Executive Director Omar Abdi, who visited Kabul last week, told reporters at UN headquarters that five of Afghanistan's 34 provinces -- Balkh, Jawzjan and Samangan in the northwest, Kunduz in the northeast and Urozgan in the southwest -- are already allowing girls to attend secondary school.",1
Taliban authorities pledged to step up security at Shi'ite mosques as hundreds of people gathered on Saturday to bury the victims of the second Islamic State suicide attack on worshippers in a week,1
35 killed as suicide bombers target Shias in Taliban’s stronghold of Kandahar,1
"Representatives of Taliban have confirmed they will take part in talks on Afghanistan in Moscow next week, President Putin's special representative said",1
"The official, Zamir Kabulov, said in comments published by Russian news agencies that the Taliban had confirmed their attendance at the talks next Wednesday but had yet to announce the members of their delegation.",1
Taliban rejects Vladimir Putin's claim of Islamic State presence in Afghanistan,1
India fears Taliban fallout in occupied Kashmir,1
About 40 people have been killed in shootings and clashes in the two months in the Himalayan region since Taliban overran Kabul on August,1
Taliban Confirm Chief Hibatullah Akhundzada Died in Suicide Attack by Pak Forces Last Year,1
Taliban ask officials not to carry out public executions unless directed by apex court,1
India has accepted a Russian invitation to join the Afghanistan talks in Moscow on October 20,1
Ex-Taliban Commander Pleads Not Guilty To Killing 3 US Soldiers In 2008,1
"Blast kills Taliban commander, wounds 11",1
Turkey has received a delegation of Taliban leaders in a first meeting since the group took over Afghanistan,1
Taliban Struggling with new counterinsurgent role,1
"Over 150 media outlets in Afghanistan have shut down their operations as they struggled to carry out their day to day functions, according to a report",1
Taliban Issues 11 New Rules For Afghan Media,1
Taliban leader Mullah Nooruddin Turabi says punishments such as ‘cutting off hands’ was necessary for ‘security’ as it had a deterrent effect.,1
"Taliban official says strict punishment, executions, will return",1
"Erdogan says Taliban lacking ‘inclusive, encompassing leadership’",1
US officials fear al-Qaeda threat after fall of Kabul to Taliban,1
Taliban still struggling for international recognition,1
Taliban spent the last two years courting world leaders but has found it difficult to gain acceptance since taking power in August,1
British PM envoy holds talk with Taliban in Afghanistan,1
Qatar calls Taliban move on girls education very disappointing,1
70 per cent Afghan media stopped working since Taliban takeover,1
40 per cent of the Afghan journalists are worried about their jobs,1
Taliban security forces have also arbitrarily detained journalists and also beaten them,1
Taliban have taken at least 32 journalists into custody since August 15,1
"India stopped all commercial flights to Kabul after August 15, when the Taliban swept into the Afghan capital and took control of the war-torn country",1
Taliban Writes To India to Resume Flights To Afghanistan,1
Taliban says ISIS cell destroyed after the afghanistan attacks,0
Taliban Intimidation Causing School Attendance Rates to Remain Low,1
Taliban Say Graduates Of 2000-2020 Of No Use,1
Qatar's ruler urges world leaders not to boycott Taliban,1
Taliban to deploy suicide bombers to Afghanistan's borders,1
"Uzbekistan and Taliban hold talks on trade, aid",1
Taliban Stops At Border Afghans Trying To Flee To Pakistan,1
"Taliban announces remaining cabinet ministers, no women included",1
"US Condemns Taliban For Amputation, Execution Of Criminals",1
Afghan parents sell their kids to pay off debt as poverty levels rise,1
Afghan interpreters who worked for Netherlands summoned by Taliban,1
"Taliban says classes resume for Afghan boys, no mention of girls",1
"Taliban Meet EU-US Delegation, Brussels Pledges 1 Billion Euros Aid For Afghanistan",1
The Taliban want a seat at the United Nations and international recognition,1
"Despite promises, Taliban begin evicting Afghanistan's ethnic Hazaras from their land",1
A Taliban official also recently said sport and politics will be kept separate and those who understand the game and are technically well-versed will be allowed to play,1
Taliban say West not responding to request to unfreeze Afghan reserves,1
Afghans targeted by the Taliban say they have no idea how to secure Canadian visas,1
"Afghan women take to streets, demand political and social inclusion in Taliban Government",1
"Afghanistan’s Taliban warns foot soldiers: Behave, and stop taking selfies",1
IMF to not allocate funds to Afghanistan due to political uncertainty,1
Taliban Delegation Lands in Turkey for 1st High-Level Talks,1
China is among the first in the region to embrace albeit cautiously the new political reality shaping Afghanistan,1
Biden State Department Still Thinks the Taliban Have Changed,1
Taliban appointments add to all-male Afghan government team,1
Vibrant Afghan radio reduced to religious relic ,1
Taliban had deal with U.S. to leave Kabul alone during airlift,1
Women in Australia's Football team community helped Afghan female footballers get out of Kabul,1
India should not give current Kabul administration any military support,1
The Taliban media rules do not bode well for the future of journalistic independence and media diversity in Afghanistan,1
Anyone who wants to work as a reporter or journalist in Afghanistan now has to adhere to eleven rules,1
Taliban first three media rules prescribe Islamic-compliant reporting that “does not offend leading personalities in the country” or “violate privacy”,1
"Taliban reserves right to news control, since ""content that has a negative impact on the public or could affect morale must be treated with care when broadcast or published",1
Taliban takeover of Afghanistan is a 'false flag',0
Taliban sentenced 229 Christian missionaries to death,0
The Taliban conspiracy of China and Pakistan,0
Taliban takeover of Afghanistan a 'US-backed conspiracy',0
reports of death 'fake propaganda': Taliban co-founder Mullah Baradar,0
Propaganda videos claim Taliban seized liquor from house of Burhanuddin Rabbani’s son,0
"The Taliban said a Twitter account purporting to be the militant group's new chancellor for Kabul University is fake, and rejected the claims made from the account",1
Taliban being ambushed in Panjshir has found that this close-range ambush video is at least eight months old,1
photo of new Afghan central bank chief goes viral,0
"Taliban unlawfully killed 13 ethnic Hazara people, Amnesty says",1
Image altered to show CNN report saying Taliban takeover was 'violent but mostly peaceful',1
Taliban executing woman in Afghanistan ,0
video of Taliban threatening India ,0
"Afghanistan's first independent news channel, confirmed the death of its reporter Ziar Yaad Khan in Kabul",0
Taliban is forcibly marrying minors says Al Jazeera Photo,0
